sex,age,race,hispanic,educ,empstat,hrs_wk,income,deg_bachelors,deg_masters,deg_profession,deg_phd,i_female,i_black,i_white,i_hispanic,i_workforce,i_employed
Female,40,White,Non-Hispanic,17,Employed,40,65000,1,1,0,0,1,0,1,0,1,1
Male,80,White,Non-Hispanic,12,Not in labor force,0,63700,0,0,0,0,0,0,1,0,0,0
Female,77,White,Non-Hispanic,17,Not in labor force,2,48250,1,1,0,0,1,0,1,0,0,0
Female,67,White,Non-Hispanic,12,Not in labor force,0,58000,0,0,0,0,1,0,1,0,0,0
Male,37,Other,Non-Hispanic,16,Employed,55,770000,1,0,0,0,0,0,0,0,1,1
Male,47,AIAN,Non-Hispanic,12,Not in labor force,0,7200,0,0,0,0,0,0,0,0,0,0
Female,77,White,Hispanic,17,Employed,20,40730,1,1,0,0,1,0,1,1,1,1
Female,88,White,Non-Hispanic,12,Not in labor force,0,45500,0,0,0,0,1,0,1,0,0,0
Male,75,White,Non-Hispanic,12,Not in labor force,0,48000,0,0,0,0,0,0,1,0,0,0
Male,47,Black,Non-Hispanic,17,Unemployed,0,0,1,1,0,0,0,1,0,0,1,0
Female,31,White,Non-Hispanic,13,Employed,40,47000,0,0,0,0,1,0,1,0,1,1
Male,36,White,Non-Hispanic,16,Not in labor force,40,45000,1,0,0,0,0,0,1,0,0,0
Female,29,Other,Hispanic,,Employed,20,15000,0,0,0,0,1,0,0,1,1,1
Male,67,Black,Non-Hispanic,13,Employed,24,42000,0,0,0,0,0,1,0,0,1,1
Female,45,White,Non-Hispanic,17,Employed,40,225000,1,0,1,0,1,0,1,0,1,1
Male,65,White,Non-Hispanic,12,Not in labor force,0,58800,0,0,0,0,0,0,1,0,0,0
Male,62,White,Non-Hispanic,13,Employed,60,105000,0,0,0,0,0,0,1,0,1,1
Male,70,White,Non-Hispanic,12,Not in labor force,0,19100,0,0,0,0,0,0,1,0,0,0
Male,87,White,Non-Hispanic,12,Not in labor force,0,29000,0,0,0,0,0,0,1,0,0,0
Female,83,Other,Hispanic,12,Not in labor force,0,1900,0,0,0,0,1,0,0,1,0,0
Female,37,Other,Hispanic,,Unemployed,0,36000,0,0,0,0,1,0,0,1,1,0
Male,43,White,Non-Hispanic,13,Employed,45,29640,0,0,0,0,0,0,1,0,1,1
Female,21,White,Non-Hispanic,13,Unemployed,8,3500,0,0,0,0,1,0,1,0,1,0
Female,41,Black,Non-Hispanic,16,Employed,50,140000,1,0,0,0,1,1,0,0,1,1
Male,61,White,Non-Hispanic,16,Unemployed,0,24600,1,0,0,0,0,0,1,0,1,0
Female,62,White,Non-Hispanic,16,Employed,30,85000,1,0,0,0,1,0,1,0,1,1
Male,70,White,Non-Hispanic,9,Employed,40,59000,0,0,0,0,0,0,1,0,1,1
Female,31,White,Non-Hispanic,16,Not in labor force,0,0,1,0,0,0,1,0,1,0,0,0
Male,19,Chinese,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,0,0,0,0,0,0
Female,32,White,Non-Hispanic,13,Employed,40,30100,0,0,0,0,1,0,1,0,1,1
Male,42,White,Non-Hispanic,13,Not in labor force,0,0,0,0,0,0,0,0,1,0,0,0
Male,53,White,Non-Hispanic,13,Employed,40,60000,0,0,0,0,0,0,1,0,1,1
Female,35,White,Non-Hispanic,16,Employed,40,85080,1,0,0,0,1,0,1,0,1,1
Female,21,Black,Non-Hispanic,12,Unemployed,30,4500,0,0,0,0,1,1,0,0,1,0
Female,59,Other,Hispanic,12,Employed,35,21900,0,0,0,0,1,0,0,1,1,1
Female,50,Other,Hispanic,12,Not in labor force,0,0,0,0,0,0,1,0,0,1,0,0
Female,60,White,Non-Hispanic,,Employed,16,1300,0,0,0,0,1,0,1,0,1,1
Male,23,Other,Non-Hispanic,12,Not in labor force,30,3060,0,0,0,0,0,0,0,0,0,0
Female,75,White,Non-Hispanic,12,Not in labor force,0,18500,0,0,0,0,1,0,1,0,0,0
Female,54,Other,Hispanic,,Not in labor force,0,0,0,0,0,0,1,0,0,1,0,0
Male,28,White,Non-Hispanic,16,Employed,40,70000,1,0,0,0,0,0,1,0,1,1
Male,63,Black,Non-Hispanic,13,Not in labor force,20,36500,0,0,0,0,0,1,0,0,0,0
Female,22,White,Non-Hispanic,12,Employed,30,14300,0,0,0,0,1,0,1,0,1,1
Female,32,White,Non-Hispanic,17,Employed,40,145000,1,0,1,0,1,0,1,0,1,1
Female,57,White,Non-Hispanic,16,Employed,50,100100,1,0,0,0,1,0,1,0,1,1
Female,66,Black,Non-Hispanic,8,Not in labor force,0,13200,0,0,0,0,1,1,0,0,0,0
Male,62,White,Non-Hispanic,12,Employed,40,60000,0,0,0,0,0,0,1,0,1,1
Male,51,White,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,0,0,1,0,0,0
Male,71,White,Non-Hispanic,12,Not in labor force,0,29900,0,0,0,0,0,0,1,0,0,0
Male,62,White,Non-Hispanic,14,Not in labor force,0,54400,0,0,0,0,0,0,1,0,0,0
Male,85,White,Non-Hispanic,12,Employed,40,186000,0,0,0,0,0,0,1,0,1,1
Female,62,Other,Hispanic,4,Employed,8,45000,0,0,0,0,1,0,0,1,1,1
Male,47,White,Non-Hispanic,13,Employed,40,85000,0,0,0,0,0,0,1,0,1,1
Female,63,Other,Non-Hispanic,12,Employed,40,156000,0,0,0,0,1,0,0,0,1,1
Female,71,White,Non-Hispanic,14,Not in labor force,0,0,0,0,0,0,1,0,1,0,0,0
Female,53,White,Non-Hispanic,12,Employed,40,8400,0,0,0,0,1,0,1,0,1,1
Female,59,White,Non-Hispanic,12,Employed,35,29200,0,0,0,0,1,0,1,0,1,1
Male,68,White,Non-Hispanic,12,Not in labor force,0,32400,0,0,0,0,0,0,1,0,0,0
Male,51,White,Non-Hispanic,14,Employed,40,96000,0,0,0,0,0,0,1,0,1,1
Female,38,White,Non-Hispanic,12,Employed,40,45300,0,0,0,0,1,0,1,0,1,1
Female,59,White,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,1,0,1,0,0,0
Male,35,White,Non-Hispanic,17,Employed,40,75000,1,0,0,1,0,0,1,0,1,1
Female,53,White,Non-Hispanic,12,Not in labor force,0,18000,0,0,0,0,1,0,1,0,0,0
Female,75,Black,Non-Hispanic,13,Employed,38,58600,0,0,0,0,1,1,0,0,1,1
Male,42,Other,Hispanic,12,Employed,45,15000,0,0,0,0,0,0,0,1,1,1
Male,74,White,Non-Hispanic,12,Employed,30,61000,0,0,0,0,0,0,1,0,1,1
Male,30,White,Non-Hispanic,12,Employed,40,40000,0,0,0,0,0,0,1,0,1,1
Female,52,White,Non-Hispanic,17,Employed,40,90000,1,1,0,0,1,0,1,0,1,1
Male,21,Black,Non-Hispanic,12,Not in labor force,0,10000,0,0,0,0,0,1,0,0,0,0
Female,62,White,Non-Hispanic,,Not in labor force,0,3300,0,0,0,0,1,0,1,0,0,0
Male,54,White,Non-Hispanic,13,Employed,60,131500,0,0,0,0,0,0,1,0,1,1
Female,79,White,Non-Hispanic,12,Employed,18,49900,0,0,0,0,1,0,1,0,1,1
Female,81,White,Non-Hispanic,12,Not in labor force,0,1600,0,0,0,0,1,0,1,0,0,0
Female,51,White,Non-Hispanic,16,Employed,50,94000,1,0,0,0,1,0,1,0,1,1
Female,89,White,Non-Hispanic,14,Not in labor force,0,0,0,0,0,0,1,0,1,0,0,0
Male,53,White,Hispanic,12,Employed,32,20000,0,0,0,0,0,0,1,1,1,1
Male,27,White,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,0,0,1,0,0,0
Male,65,White,Non-Hispanic,12,Not in labor force,0,35400,0,0,0,0,0,0,1,0,0,0
Male,20,White,Non-Hispanic,12,Employed,40,34300,0,0,0,0,0,0,1,0,1,1
Female,28,White,Non-Hispanic,14,Employed,40,48000,0,0,0,0,1,0,1,0,1,1
Male,56,White,Non-Hispanic,17,Employed,40,206000,1,1,0,0,0,0,1,0,1,1
Male,62,AIAN,Non-Hispanic,17,Not in labor force,0,46020,1,1,0,0,0,0,0,0,0,0
Female,32,White,Non-Hispanic,16,Employed,50,175000,1,0,0,0,1,0,1,0,1,1
Male,50,White,Non-Hispanic,12,Employed,40,16000,0,0,0,0,0,0,1,0,1,1
Female,24,White,Non-Hispanic,13,Employed,20,10800,0,0,0,0,1,0,1,0,1,1
Female,23,White,Non-Hispanic,11,Employed,30,12000,0,0,0,0,1,0,1,0,1,1
Male,21,White,Non-Hispanic,13,Employed,16,15000,0,0,0,0,0,0,1,0,1,1
Male,55,White,Non-Hispanic,16,Employed,40,88000,1,0,0,0,0,0,1,0,1,1
Female,64,White,Non-Hispanic,17,Not in labor force,0,1910,1,1,0,0,1,0,1,0,0,0
Male,30,Other,Non-Hispanic,16,Employed,10,100000,1,0,0,0,0,0,0,0,1,1
Male,56,Other,Hispanic,12,Employed,80,100000,0,0,0,0,0,0,0,1,1,1
Female,18,Other,Non-Hispanic,12,Employed,20,8000,0,0,0,0,1,0,0,0,1,1
Female,80,White,Non-Hispanic,12,Not in labor force,0,12000,0,0,0,0,1,0,1,0,0,0
Female,65,White,Non-Hispanic,16,Employed,48,163800,1,0,0,0,1,0,1,0,1,1
Female,22,Other,Non-Hispanic,12,Employed,20,10000,0,0,0,0,1,0,0,0,1,1
Male,74,White,Non-Hispanic,12,Not in labor force,0,10200,0,0,0,0,0,0,1,0,0,0
Male,72,Other,Non-Hispanic,,Not in labor force,0,14400,0,0,0,0,0,0,0,0,0,0
Female,78,White,Non-Hispanic,12,Not in labor force,0,27600,0,0,0,0,1,0,1,0,0,0
Female,31,White,Non-Hispanic,16,Employed,40,34000,1,0,0,0,1,0,1,0,1,1
Female,80,Other,Hispanic,12,Not in labor force,0,5000,0,0,0,0,1,0,0,1,0,0
Male,20,Black,Non-Hispanic,12,Employed,40,32000,0,0,0,0,0,1,0,0,1,1
Female,80,Black,Non-Hispanic,13,Not in labor force,0,42100,0,0,0,0,1,1,0,0,0,0
Female,24,Chinese,Non-Hispanic,17,Not in labor force,20,5200,1,1,0,0,1,0,0,0,0,0
Male,34,Other,Hispanic,12,Employed,56,60000,0,0,0,0,0,0,0,1,1,1
Female,60,White,Non-Hispanic,12,Employed,40,62000,0,0,0,0,1,0,1,0,1,1
Male,77,White,Non-Hispanic,12,Not in labor force,0,33600,0,0,0,0,0,0,1,0,0,0
Male,61,White,Non-Hispanic,12,Employed,45,48000,0,0,0,0,0,0,1,0,1,1
Male,38,White,Non-Hispanic,16,Employed,20,35300,1,0,0,0,0,0,1,0,1,1
Female,26,Other,Non-Hispanic,17,Employed,40,100000,1,1,0,0,1,0,0,0,1,1
Female,33,White,Non-Hispanic,12,Employed,40,38000,0,0,0,0,1,0,1,0,1,1
Male,61,White,Non-Hispanic,8,Not in labor force,0,0,0,0,0,0,0,0,1,0,0,0
Female,21,White,Non-Hispanic,16,Not in labor force,10,420,1,0,0,0,1,0,1,0,0,0
Male,39,White,Non-Hispanic,17,Employed,45,330000,1,0,1,0,0,0,1,0,1,1
Female,80,Other,Hispanic,4,Not in labor force,0,0,0,0,0,0,1,0,0,1,0,0
Female,81,White,Non-Hispanic,17,Not in labor force,0,42300,1,1,0,0,1,0,1,0,0,0
Female,63,White,Non-Hispanic,12,Not in labor force,0,125000,0,0,0,0,1,0,1,0,0,0
Male,63,Other,Non-Hispanic,16,Employed,40,99000,1,0,0,0,0,0,0,0,1,1
Male,58,White,Non-Hispanic,12,Employed,75,6500,0,0,0,0,0,0,1,0,1,1
Female,63,White,Non-Hispanic,12,Not in labor force,0,50000,0,0,0,0,1,0,1,0,0,0
Female,24,Other,Hispanic,12,Unemployed,40,11300,0,0,0,0,1,0,0,1,1,0
Male,51,White,Non-Hispanic,12,Employed,50,10000,0,0,0,0,0,0,1,0,1,1
Male,68,White,Non-Hispanic,16,Not in labor force,0,21500,1,0,0,0,0,0,1,0,0,0
Female,41,White,Non-Hispanic,12,Not in labor force,0,7990,0,0,0,0,1,0,1,0,0,0
Male,42,White,Non-Hispanic,12,Employed,45,70000,0,0,0,0,0,0,1,0,1,1
Male,24,White,Non-Hispanic,14,Employed,32,22000,0,0,0,0,0,0,1,0,1,1
Male,50,White,Non-Hispanic,17,Employed,40,175000,1,1,0,0,0,0,1,0,1,1
Female,73,White,Non-Hispanic,12,Employed,32,38330,0,0,0,0,1,0,1,0,1,1
Female,24,Black,Non-Hispanic,16,Unemployed,50,10800,1,0,0,0,1,1,0,0,1,0
Female,73,White,Non-Hispanic,14,Not in labor force,0,19300,0,0,0,0,1,0,1,0,0,0
Male,22,White,Non-Hispanic,13,Not in labor force,0,0,0,0,0,0,0,0,1,0,0,0
Female,75,White,Non-Hispanic,16,Not in labor force,0,51700,1,0,0,0,1,0,1,0,0,0
Male,52,White,Non-Hispanic,16,Employed,40,30000,1,0,0,0,0,0,1,0,1,1
Female,19,Other,Non-Hispanic,13,Unemployed,0,0,0,0,0,0,1,0,0,0,1,0
Female,63,Other,Non-Hispanic,16,Employed,62,1100,1,0,0,0,1,0,0,0,1,1
Male,24,White,Non-Hispanic,12,Employed,40,32600,0,0,0,0,0,0,1,0,1,1
Female,31,Other,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,1,0,0,0,0,0
Male,50,White,Non-Hispanic,16,Employed,50,374000,1,0,0,0,0,0,1,0,1,1
Male,35,White,Non-Hispanic,16,Employed,40,93870,1,0,0,0,0,0,1,0,1,1
Male,40,Black,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,0,1,0,0,0,0
Female,41,White,Non-Hispanic,16,Employed,40,56000,1,0,0,0,1,0,1,0,1,1
Female,65,White,Non-Hispanic,17,Employed,40,486800,1,0,1,0,1,0,1,0,1,1
Male,88,AIAN,Non-Hispanic,12,Not in labor force,0,17300,0,0,0,0,0,0,0,0,0,0
Female,58,White,Non-Hispanic,13,Employed,40,50000,0,0,0,0,1,0,1,0,1,1
Female,29,White,Non-Hispanic,17,Employed,40,64000,1,1,0,0,1,0,1,0,1,1
Male,36,White,Non-Hispanic,12,Employed,48,50000,0,0,0,0,0,0,1,0,1,1
Female,21,White,Non-Hispanic,12,Employed,42,50000,0,0,0,0,1,0,1,0,1,1
Female,76,White,Non-Hispanic,12,Not in labor force,0,45700,0,0,0,0,1,0,1,0,0,0
Male,49,White,Non-Hispanic,14,Employed,60,17700,0,0,0,0,0,0,1,0,1,1
Female,47,White,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,1,0,1,0,0,0
Male,76,Other,Hispanic,16,Not in labor force,0,62000,1,0,0,0,0,0,0,1,0,0
Female,75,White,Non-Hispanic,16,Not in labor force,0,31100,1,0,0,0,1,0,1,0,0,0
Female,73,White,Non-Hispanic,12,Not in labor force,0,20200,0,0,0,0,1,0,1,0,0,0
Male,71,White,Non-Hispanic,17,Not in labor force,0,153000,1,0,0,1,0,0,1,0,0,0
Female,79,White,Non-Hispanic,12,Not in labor force,0,11500,0,0,0,0,1,0,1,0,0,0
Female,76,White,Non-Hispanic,16,Not in labor force,0,13700,1,0,0,0,1,0,1,0,0,0
Female,79,Other,Hispanic,8,Not in labor force,0,1500,0,0,0,0,1,0,0,1,0,0
Female,47,Other,Hispanic,12,Not in labor force,0,0,0,0,0,0,1,0,0,1,0,0
Male,29,White,Non-Hispanic,16,Employed,50,156000,1,0,0,0,0,0,1,0,1,1
Female,21,Other,Non-Hispanic,12,Employed,50,37000,0,0,0,0,1,0,0,0,1,1
Male,34,White,Non-Hispanic,12,Employed,40,53000,0,0,0,0,0,0,1,0,1,1
Female,51,White,Non-Hispanic,,Employed,40,35000,0,0,0,0,1,0,1,0,1,1
Male,36,White,Non-Hispanic,12,Unemployed,24,9000,0,0,0,0,0,0,1,0,1,0
Female,66,White,Non-Hispanic,12,Not in labor force,0,24900,0,0,0,0,1,0,1,0,0,0
Female,46,White,Non-Hispanic,11,Not in labor force,0,0,0,0,0,0,1,0,1,0,0,0
Male,26,White,Non-Hispanic,14,Employed,37,100000,0,0,0,0,0,0,1,0,1,1
Female,21,Other,Hispanic,12,Employed,40,20000,0,0,0,0,1,0,0,1,1,1
Male,54,Other,Hispanic,13,Employed,40,94000,0,0,0,0,0,0,0,1,1,1
Female,45,White,Non-Hispanic,12,Employed,25,20000,0,0,0,0,1,0,1,0,1,1
Male,60,White,Non-Hispanic,16,Employed,50,145000,1,0,0,0,0,0,1,0,1,1
Female,75,White,Non-Hispanic,14,Not in labor force,0,12400,0,0,0,0,1,0,1,0,0,0
Female,75,White,Non-Hispanic,13,Not in labor force,0,36500,0,0,0,0,1,0,1,0,0,0
Female,23,Other,Hispanic,16,Employed,40,100000,1,0,0,0,1,0,0,1,1,1
Male,32,Other,Hispanic,12,Not in labor force,40,155400,0,0,0,0,0,0,0,1,0,0
Male,64,White,Non-Hispanic,16,Not in labor force,0,10000,1,0,0,0,0,0,1,0,0,0
Female,21,White,Non-Hispanic,12,Employed,40,29000,0,0,0,0,1,0,1,0,1,1
Male,55,Black,Non-Hispanic,12,Employed,40,76000,0,0,0,0,0,1,0,0,1,1
Female,78,White,Non-Hispanic,14,Not in labor force,0,37600,0,0,0,0,1,0,1,0,0,0
Female,43,Other,Hispanic,12,Not in labor force,0,0,0,0,0,0,1,0,0,1,0,0
Male,40,Black,Non-Hispanic,12,Employed,30,20000,0,0,0,0,0,1,0,0,1,1
Female,64,White,Non-Hispanic,13,Employed,40,40500,0,0,0,0,1,0,1,0,1,1
Female,57,White,Non-Hispanic,13,Employed,40,70000,0,0,0,0,1,0,1,0,1,1
Female,40,White,Non-Hispanic,16,Not in labor force,0,0,1,0,0,0,1,0,1,0,0,0
Male,54,AIAN,Non-Hispanic,12,Employed,40,3400,0,0,0,0,0,0,0,0,1,1
Female,32,White,Non-Hispanic,16,Employed,36,75000,1,0,0,0,1,0,1,0,1,1
Male,46,White,Non-Hispanic,17,Employed,40,132000,1,1,0,0,0,0,1,0,1,1
Female,62,White,Non-Hispanic,16,Employed,20,73000,1,0,0,0,1,0,1,0,1,1
Female,24,Black,Non-Hispanic,16,Employed,55,3200,1,0,0,0,1,1,0,0,1,1
Female,64,White,Non-Hispanic,16,Employed,40,35000,1,0,0,0,1,0,1,0,1,1
Male,54,White,Non-Hispanic,12,Employed,40,73100,0,0,0,0,0,0,1,0,1,1
Male,20,White,Non-Hispanic,14,Employed,25,4000,0,0,0,0,0,0,1,0,1,1
Female,44,Black,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,1,1,0,0,0,0
Female,40,White,Non-Hispanic,16,Employed,40,40000,1,0,0,0,1,0,1,0,1,1
Female,49,White,Non-Hispanic,17,Employed,40,85000,1,0,0,1,1,0,1,0,1,1
Male,22,White,Non-Hispanic,16,Not in labor force,0,1000,1,0,0,0,0,0,1,0,0,0
Male,29,Other,Non-Hispanic,12,Employed,40,170000,0,0,0,0,0,0,0,0,1,1
Male,48,White,Non-Hispanic,12,Employed,40,240000,0,0,0,0,0,0,1,0,1,1
Female,66,Black,Non-Hispanic,11,Not in labor force,0,11000,0,0,0,0,1,1,0,0,0,0
Male,72,White,Non-Hispanic,13,Not in labor force,0,31400,0,0,0,0,0,0,1,0,0,0
Female,76,White,Hispanic,8,Not in labor force,0,9200,0,0,0,0,1,0,1,1,0,0
Female,47,Other,Hispanic,14,Employed,32,84000,0,0,0,0,1,0,0,1,1,1
Male,59,White,Non-Hispanic,16,Employed,45,51000,1,0,0,0,0,0,1,0,1,1
Female,82,White,Non-Hispanic,16,Not in labor force,0,29400,1,0,0,0,1,0,1,0,0,0
Male,62,White,Non-Hispanic,16,Employed,40,130000,1,0,0,0,0,0,1,0,1,1
Female,68,White,Non-Hispanic,11,Not in labor force,0,14800,0,0,0,0,1,0,1,0,0,0
Male,71,White,Non-Hispanic,16,Not in labor force,0,39000,1,0,0,0,0,0,1,0,0,0
Male,52,White,Non-Hispanic,16,Employed,25,25000,1,0,0,0,0,0,1,0,1,1
Female,39,White,Non-Hispanic,16,Employed,24,10700,1,0,0,0,1,0,1,0,1,1
Male,55,White,Non-Hispanic,,Not in labor force,0,0,0,0,0,0,0,0,1,0,0,0
Female,67,Black,Non-Hispanic,16,Not in labor force,0,52000,1,0,0,0,1,1,0,0,0,0
Male,87,White,Non-Hispanic,12,Not in labor force,0,41630,0,0,0,0,0,0,1,0,0,0
Male,28,White,Non-Hispanic,12,Employed,40,120000,0,0,0,0,0,0,1,0,1,1
Male,66,White,Non-Hispanic,13,Not in labor force,0,33800,0,0,0,0,0,0,1,0,0,0
Male,18,White,Non-Hispanic,13,Not in labor force,0,0,0,0,0,0,0,0,1,0,0,0
Male,60,Other,Hispanic,8,Employed,50,61000,0,0,0,0,0,0,0,1,1,1
Female,41,White,Non-Hispanic,16,Not in labor force,0,26000,1,0,0,0,1,0,1,0,0,0
Female,64,White,Non-Hispanic,12,Not in labor force,0,19700,0,0,0,0,1,0,1,0,0,0
Female,26,Other,Non-Hispanic,17,Employed,40,50000,1,0,1,0,1,0,0,0,1,1
Male,25,Other,Hispanic,12,Employed,40,68000,0,0,0,0,0,0,0,1,1,1
Male,81,White,Non-Hispanic,17,Not in labor force,0,114130,1,1,0,0,0,0,1,0,0,0
Male,37,White,Non-Hispanic,12,Employed,40,5000,0,0,0,0,0,0,1,0,1,1
Male,70,White,Non-Hispanic,14,Not in labor force,0,47400,0,0,0,0,0,0,1,0,0,0
Male,40,Other,Hispanic,8,Employed,80,30000,0,0,0,0,0,0,0,1,1,1
Female,50,White,Non-Hispanic,12,Not in labor force,0,3160,0,0,0,0,1,0,1,0,0,0
Male,28,White,Non-Hispanic,13,Employed,60,25000,0,0,0,0,0,0,1,0,1,1
Male,76,Other,Hispanic,11,Not in labor force,0,32500,0,0,0,0,0,0,0,1,0,0
Female,37,White,Non-Hispanic,17,Employed,40,70000,1,1,0,0,1,0,1,0,1,1
Female,75,White,Non-Hispanic,16,Not in labor force,0,47000,1,0,0,0,1,0,1,0,0,0
Male,59,White,Non-Hispanic,16,Not in labor force,0,5000,1,0,0,0,0,0,1,0,0,0
Female,19,Other,Non-Hispanic,12,Employed,35,7000,0,0,0,0,1,0,0,0,1,1
Male,31,White,Non-Hispanic,16,Employed,40,80000,1,0,0,0,0,0,1,0,1,1
Male,46,Black,Non-Hispanic,12,Employed,72,84000,0,0,0,0,0,1,0,0,1,1
Female,56,Other,Non-Hispanic,12,Not in labor force,0,14400,0,0,0,0,1,0,0,0,0,0
Female,27,White,Non-Hispanic,16,Employed,40,50000,1,0,0,0,1,0,1,0,1,1
Male,60,Black,Non-Hispanic,12,Employed,40,95000,0,0,0,0,0,1,0,0,1,1
Male,30,White,Non-Hispanic,12,Employed,35,52000,0,0,0,0,0,0,1,0,1,1
Female,18,White,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,1,0,1,0,0,0
Female,55,White,Non-Hispanic,12,Employed,45,150000,0,0,0,0,1,0,1,0,1,1
Male,33,Other,Hispanic,12,Employed,40,40000,0,0,0,0,0,0,0,1,1,1
Female,68,White,Non-Hispanic,12,Not in labor force,0,11700,0,0,0,0,1,0,1,0,0,0
Female,63,White,Non-Hispanic,13,Not in labor force,0,18000,0,0,0,0,1,0,1,0,0,0
Male,19,White,Non-Hispanic,12,Employed,20,7000,0,0,0,0,0,0,1,0,1,1
Male,35,Other,Hispanic,12,Employed,45,70000,0,0,0,0,0,0,0,1,1,1
Male,28,Other,Hispanic,14,Employed,40,85000,0,0,0,0,0,0,0,1,1,1
Female,63,White,Non-Hispanic,12,Employed,40,50800,0,0,0,0,1,0,1,0,1,1
Male,67,White,Hispanic,17,Employed,40,141600,1,0,1,0,0,0,1,1,1,1
Male,72,White,Non-Hispanic,12,Not in labor force,0,20000,0,0,0,0,0,0,1,0,0,0
Female,22,White,Non-Hispanic,12,Not in labor force,0,4300,0,0,0,0,1,0,1,0,0,0
Female,52,White,Non-Hispanic,14,Not in labor force,0,0,0,0,0,0,1,0,1,0,0,0
Male,64,White,Non-Hispanic,12,Employed,46,168000,0,0,0,0,0,0,1,0,1,1
Male,47,Black,Non-Hispanic,16,Employed,40,65000,1,0,0,0,0,1,0,0,1,1
Female,52,Other,Hispanic,17,Employed,40,58000,1,1,0,0,1,0,0,1,1,1
